,feature,importance
0,is_display_sku,44.653568267822266
1,is_discount_sku,39.429115295410156
2,is_featured_sku,31.872297286987305
3,lag_8_weeks,17.14606285095215
4,sku_id,13.101200103759766
5,store_id,6.375990390777588
6,total_price,5.071454048156738
7,base_price,2.4456894397735596
8,cos_month,2.2599406242370605
9,gap_since_lag_1_records,1.5990209579467773
10,sin_month,1.5879102945327759
11,cos_week_of_year,1.5770186185836792
12,sin_week_of_year,1.3261990547180176
13,quarter,1.2738078832626343
14,target_changing_rate_per_week_2,0.842144787311554
15,target_changing_rate_per_week_1,0.835547685623169
