,feature,importance
0,ewma_4_records,62.68490219116211
1,is_featured_sku,55.34623718261719
2,is_display_sku,38.054718017578125
3,is_discount_sku,30.230440139770508
4,ewma_3_records,13.864862442016602
5,sku_id,5.863981246948242
6,total_price,3.8800437450408936
7,store_id,3.030757427215576
8,lag_4_weeks,2.41619873046875
9,cos_month,2.2286267280578613
10,base_price,1.833342432975769
11,gap_since_lag_1_records,1.8123559951782227
12,cos_week_of_year,1.6540462970733643
13,sin_month,1.6515604257583618
14,target_changing_rate_per_week_2,1.3584446907043457
15,quarter,1.315834403038025
16,ewma_2_records,0.9909448027610779
17,target_changing_rate_per_week_1,0.9450344443321228
