,feature,importance
0,rolling_mean_4_records,77.5152359008789
1,is_featured_sku,75.7737808227539
2,ewma_4_records,64.30777740478516
3,is_display_sku,51.493431091308594
4,is_discount_sku,15.642513275146484
5,discount_ratio,14.068856239318848
6,sku_id,5.737386226654053
7,total_price,4.532869338989258
8,store_id,2.9626030921936035
9,rolling_mean_3_records,2.6415696144104004
10,cos_month,2.429659366607666
11,base_price,2.1691579818725586
12,gap_since_lag_4_records,2.07828426361084
13,gap_since_lag_1_records,1.9765981435775757
14,sin_month,1.9281916618347168
15,gap_since_lag_2_records,1.8770511150360107
16,cos_week_of_year,1.8740260601043701
17,quarter,1.8127845525741577
18,sin_week_of_year,1.7079538106918335
19,lag_4_weeks,1.533612847328186
20,target_changing_rate_per_week_4,1.4775363206863403
21,rolling_std_4_records,1.4350155591964722
22,rolling_std_3_records,1.2185637950897217
23,lag_2_weeks,1.0445244312286377
24,lag_1_weeks,1.0219897031784058
25,ewma_3_records,1.0212466716766357
26,target_changing_rate_per_week_2,0.9670675992965698
27,ewma_2_records,0.9524496793746948
28,target_changing_rate_per_week_1,0.892726480960846
