,feature,importance
0,ewma_4_records,73.81656646728516
1,is_featured_sku,68.99522399902344
2,is_discount_sku,49.203678131103516
3,is_display_sku,44.462100982666016
4,ewma_3_records,10.294585227966309
5,discount_ratio,7.694936275482178
6,sku_id,5.0842814445495605
7,total_price,4.3905439376831055
8,lag_4_weeks,3.297905921936035
9,store_id,2.9933416843414307
10,cos_month,2.1210148334503174
11,base_price,2.102569103240967
12,sin_month,1.8757902383804321
13,gap_since_lag_4_records,1.8468838930130005
14,gap_since_lag_1_records,1.8054722547531128
15,quarter,1.7968435287475586
16,cos_week_of_year,1.778039813041687
17,gap_since_lag_2_records,1.7736622095108032
18,sin_week_of_year,1.5409623384475708
19,target_changing_rate_per_week_4,1.4071141481399536
20,target_changing_rate_per_week_2,1.3496395349502563
21,lag_2_weeks,1.0708339214324951
22,target_changing_rate_per_week_1,0.9008572697639465
