,feature,importance
0,ewma_4_records,64.98078155517578
1,is_featured_sku,56.95155334472656
2,is_display_sku,37.65972900390625
3,is_discount_sku,31.07994270324707
4,ewma_3_records,13.815349578857422
5,sku_id,5.8061017990112305
6,total_price,3.858980894088745
7,store_id,3.0175020694732666
8,lag_4_weeks,2.4514780044555664
9,cos_month,2.227982997894287
10,base_price,1.807436466217041
11,gap_since_lag_1_records,1.7975274324417114
12,cos_week_of_year,1.6891270875930786
13,sin_week_of_year,1.5109808444976807
14,quarter,1.4111007452011108
15,target_changing_rate_per_week_2,1.366304636001587
16,ewma_2_records,0.9828960299491882
17,target_changing_rate_per_week_1,0.9564118981361389
