,feature,importance
0,is_featured_sku,61.89696502685547
1,ewma_8_records,36.21231460571289
2,is_display_sku,33.33708190917969
3,is_discount_sku,31.762670516967773
4,sku_id,6.480229377746582
5,lag_4_weeks,6.165078163146973
6,store_id,3.5690722465515137
7,total_price,3.113892078399658
8,base_price,2.5333642959594727
9,cos_month,2.219921588897705
10,gap_since_lag_1_records,1.6514016389846802
11,sin_month,1.640175700187683
12,cos_week_of_year,1.5260308980941772
13,sin_week_of_year,1.3556480407714844
14,quarter,1.2230899333953857
15,target_changing_rate_per_week_2,0.8878949284553528
16,target_changing_rate_per_week_1,0.8614181876182556
