,feature,importance
0,ewma_4_records,86.07431030273438
1,is_featured_sku,70.87342071533203
2,is_display_sku,48.95493698120117
3,is_discount_sku,35.41569519042969
4,ewma_3_records,14.71458911895752
5,discount_ratio,7.904658317565918
6,sku_id,5.113907814025879
7,total_price,4.548605442047119
8,ewma_2_records,3.8830301761627197
9,lag_4_weeks,3.330853223800659
10,store_id,2.7130379676818848
11,base_price,2.273897647857666
12,cos_month,2.22806453704834
13,gap_since_lag_2_records,1.8900023698806763
14,quarter,1.8642265796661377
15,gap_since_lag_1_records,1.842842698097229
16,cos_week_of_year,1.8297566175460815
17,gap_since_lag_4_records,1.823859453201294
18,sin_month,1.8131260871887207
19,sin_week_of_year,1.5800334215164185
20,target_changing_rate_per_week_4,1.4001424312591553
21,target_changing_rate_per_week_2,1.296590805053711
22,lag_2_weeks,1.2638614177703857
23,lag_1_weeks,1.1539193391799927
