,feature,importance
0,is_featured_sku,56.40851974487305
1,ewma_4_records,55.193302154541016
2,is_discount_sku,42.90052795410156
3,is_display_sku,38.132362365722656
4,ewma_3_records,8.04670238494873
5,discount_ratio,6.805480003356934
6,sku_id,5.72966194152832
7,ewma_2_records,3.7465083599090576
8,total_price,3.6436710357666016
9,store_id,3.06648850440979
10,cos_month,1.932219386100769
11,base_price,1.8719607591629028
12,gap_since_lag_1_records,1.7217473983764648
13,sin_month,1.6100749969482422
14,cos_week_of_year,1.543772578239441
15,sin_week_of_year,1.4706156253814697
16,target_changing_rate_per_week_2,1.3562074899673462
17,quarter,1.29756760597229
18,target_changing_rate_per_week_1,0.9145374298095703
